Параметр,Значение,Комментарий
Клиентская база,250000,"Рабочий масштаб модели"
Доля claim-related взаимодействий в год,3%,"Допущение"
Случаев в месяц,625,"250000 × 3% / 12"
Доля с повторным вопросом,65%,"Допущение, проверить по контакт-центру"
Повторных контактов на случай,2.2,"Допущение"
Минут на контакт,12,"Допущение"
Стоимость часа сотрудника,3500 ₸,"Допущение"
Стоимость повторных контактов,≈626000 ₸/мес,"Расчёт модели"
Эскалаций/жалоб в месяц,25,"Допущение"
Стоимость одной эскалации,15000 ₸,"Допущение"
Стоимость эскалаций,375000 ₸/мес,"25 × 15000"
Потерянных продлений в месяц,30,"Допущение"
Маржа на продление,12000 ₸,"Допущение"
Потеря маржи,360000 ₸/мес,"30 × 12000"
Итого зона возможности,≈1360000 ₸/мес,"Повторные контакты + эскалации + маржа"
Дешёвый MVP,760000 ₸,"Оценка"
Эффект MVP на повторные контакты,25%,"Гипотеза для теста"
Полная интеграция,12000000 ₸,"Оценка"
Эффект полной интеграции,50%,"Гипотеза, не прогноз"
